duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,attack_category,difficulty_level
1,tcp,smtp,S0,775,92,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,214,46,0.9,0.74,0.09,0.1,0.91,0.07,0.29,73,204,0.48,0.05,0.9,0.02,0.88,0.84,0.0,0.07,dos,DoS,5
25,tcp,telnet,REJ,48363,5412,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,77,124,0.05,0.04,0.04,0.03,0.87,0.02,0.26,243,177,0.55,0.11,0.67,0.05,0.0,0.04,0.03,0.04,normal,Normal,9
1,udp,smtp,S0,953,69,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,285,197,0.98,0.99,0.07,0.09,0.96,0.14,0.28,129,43,0.91,0.18,0.82,0.11,0.92,0.93,0.04,0.06,dos,DoS,2
2,tcp,ftp_data,S0,964,26,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,303,67,0.87,0.84,0.06,0.09,0.96,0.06,0.21,102,184,0.84,0.09,0.79,0.12,0.92,0.96,0.06,0.06,dos,DoS,16
14,tcp,http,SF,103,141,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,38,36,0.21,0.22,0.58,0.67,0.21,0.7,0.09,125,20,0.66,0.02,0.37,0.04,0.44,0.23,0.66,0.4,probe,Probe,4
2,udp,ftp_data,S0,624,34,0,0,0,6,1,1,2,0,0,0,0,0,0,0,0,0,320,64,0.86,0.88,0.04,0.08,0.92,0.16,0.14,63,139,0.26,0.03,0.1,0.2,0.9,0.8,0.06,0.02,dos,DoS,17
3,tcp,other,SF,17581,48226,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,34,0.01,0.05,0.04,0.03,0.93,0.01,0.27,35,226,0.85,0.15,0.33,0.11,0.04,0.03,0.01,0.03,normal,Normal,17
88,udp,ftp,SF,38208,39240,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,57,23,0.01,0.01,0.02,0.05,0.82,0.04,0.13,235,126,0.88,0.05,0.12,0.01,0.03,0.05,0.0,0.04,normal,Normal,17
3,tcp,ssh,S0,65,12,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,419,145,0.87,0.92,0.03,0.02,0.9,0.15,0.12,51,168,0.51,0.11,0.86,0.14,0.83,0.82,0.03,0.02,dos,DoS,5
1,udp,smtp,S0,926,11,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,422,41,0.89,0.74,0.06,0.09,1.0,0.12,0.13,121,119,0.76,0.1,0.16,0.16,0.76,0.97,0.09,0.0,dos,DoS,14
4,tcp,ssh,S0,817,81,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,229,16,0.94,0.91,0.07,0.02,0.91,0.12,0.23,54,7,0.11,0.04,0.49,0.21,0.74,0.89,0.02,0.04,dos,DoS,10
24,icmp,http,SF,10452,39978,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,24,7,0.04,0.01,0.0,0.05,0.77,0.09,0.16,138,147,0.87,0.02,0.4,0.0,0.01,0.03,0.03,0.03,normal,Normal,17
1,tcp,ftp_data,SF,24503,18232,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,84,29,0.04,0.04,0.03,0.04,0.76,0.09,0.07,33,192,0.91,0.16,0.9,0.06,0.05,0.04,0.05,0.01,normal,Normal,10
22,tcp,smtp,OTH,34306,10557,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,1,120,0.03,0.0,0.05,0.02,0.74,0.05,0.11,12,233,0.6,0.01,0.71,0.06,0.05,0.01,0.04,0.02,normal,Normal,1
1,tcp,other,S0,241,20,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,486,138,0.71,0.88,0.1,0.1,0.96,0.17,0.18,192,106,0.93,0.15,0.88,0.09,0.86,0.94,0.08,0.07,dos,DoS,7
75,udp,ftp,SF,17397,21272,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,33,68,0.04,0.03,0.02,0.03,0.81,0.02,0.19,97,222,0.22,0.01,0.97,0.27,0.0,0.04,0.0,0.02,normal,Normal,4
5,tcp,ftp_data,SF,69,102,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,9,115,0.47,0.15,0.41,0.49,0.36,0.78,0.02,97,92,0.83,0.19,0.08,0.21,0.45,0.24,0.77,0.51,probe,Probe,18
76,tcp,ftp_data,OTH,13929,2784,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,38,149,0.04,0.04,0.04,0.0,0.76,0.03,0.07,52,101,0.55,0.04,0.89,0.26,0.03,0.05,0.0,0.04,normal,Normal,16
64,icmp,ssh,SF,18052,24425,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,47,64,0.02,0.02,0.0,0.02,0.95,0.15,0.12,188,235,0.81,0.1,0.04,0.26,0.03,0.02,0.01,0.01,normal,Normal,11
23,tcp,nntp,SF,6721,22515,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,19,183,0.04,0.01,0.02,0.03,0.78,0.14,0.13,49,211,0.86,0.06,0.51,0.01,0.02,0.03,0.04,0.02,normal,Normal,20
52,tcp,smtp,REJ,30906,13572,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,39,99,0.03,0.03,0.0,0.03,0.87,0.1,0.3,59,18,0.29,0.15,0.54,0.08,0.04,0.01,0.01,0.01,normal,Normal,16
2161,udp,dns,SF,2437,84676,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,14,126,0.08,0.08,0.03,0.01,0.78,0.12,0.26,164,211,0.45,0.13,0.01,0.1,0.0,0.01,0.07,0.09,r2l,R2L,11
39,udp,ssh,SF,14794,32725,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,23,18,0.02,0.03,0.04,0.02,0.98,0.05,0.03,99,170,0.85,0.03,0.54,0.24,0.01,0.03,0.02,0.04,normal,Normal,17
